枯れ葉王女マジで死んじゃうかも、３秒前
蹴落とされた令嬢は村人Ａと結婚しました。
ハズレ姫は意外と愛されている？
職務放棄による被害状況について
離縁希望の側室と王の寵愛
拾われてからが幸せでした。～冤罪で耐えられず崖から飛び降りた俺、記憶喪失になりましたが、周りに恵まれ幸せです。～
幼馴染と喧嘩ばかりしていた俺、大人になったら幼馴染の様子がおかしい
上司の娘が俺を「パパ」と呼んでくる件
ヤンデレ&モラハラが酷い幼馴染から俺が完全に逃げた方法とその顛末
ぶっこめ
魔女と傭兵
真の実力を隠していると思われてる精霊師、実はいつもめっちゃ本気で戦ってます
俺だけ使える【隠しコマンド】で世界最強〜追放された落ちこぼれ貴族の俺、実は世界唯一の神眼の鑑定士だった。俺にだけ見える隠れた才能の原石を集めて最強の冒険者となる
岩壁のルォ
蔑まれていた令嬢は、第二の人生で憧れの錬金術師の道を選ぶ～浮気したパワハラ婚約者があらゆる方面でボコボコに言われていますが、そんなことより楽しい錬金術に夢中です～
異世界から帰還したら地球もかなりファンタジーでした。あと、負けヒロインどもこっち見んな。
チートを貰えなかった落第勇者の帰還〜俺だけ能力引き継いで現代最強〜
無職は今日も今日とて迷宮に潜る
ゴブリンから女の子を助けたら、いつも塩対応の先輩社員だった件。でもその恩恵は途轍もなかった！
極東救世主伝説～極東で生まれたやべーやつは如何にして救世主と呼ばれるようになったか～
【超短編】逆行する令嬢の真相
缶コーヒー（ドリップ式）
王国に栄光あれ
富裕層向け天国
缶コーヒー・カウント
開発者を大事にしない国は滅びるのです。常識でしょう？
王子は妹を選んだので
『それ』って愛なのかしら？
魔王と聖女と女神の家族ごっこ
悪役令嬢にざまぁされた王子のその後
明治大帝に転生したので、とりあえず大日本帝国が有利になるように歴史改変します！　
冬嵐記
三成、かがり火を消させず
歴史知識不要！転生オタク光秀（偽）。信長様に重用されるし家臣は謀反の陰謀始めるけど、俺天下は望まないっす。６畳１間のサブカル空間作りたいだけです！
光秀、下天の夢を見る
薬屋のひとりごと
呪われるたびに強くなる。スキル『呪具耐性』を授かりました。あれから十数年、名家から追い出された貴族の次男坊は谷奥で”おっさん呪術師”に。ひとり身おっさんのもんもんスローライフ。
お嬢様は今日も優雅にお茶を飲む
【書籍化、コミカライズ決定】《第三章完結》愛読家、日々是好日〜慎ましく、天衣無縫に後宮を駆け抜けます〜
異世界の名探偵、美しき令嬢助手と共に「村人連続石化事件」に挑む
ルンバ転生〜気付いたら滅亡した超未来世界で、自己進化するロボット掃除機になってました〜
転生してショタ王子になった剣聖は、かつての弟子には絶対にバレたくないっ
リビルドワールド
【書籍化】外れスキル『目覚まし』、実は封印解除の能力でした。落ちこぼれの少年は、眠りからさめた女神達と優しい最強を目指す。【コミカライズ連載中】
後は野となれご令嬢！〜悪役令嬢である妹が婚約破棄されたとばっちりを受けて我が家が没落したので、わたしは森でサバイバルすることにしました。〜
【奇跡のコミカライズ！】婚約者は私を捨てて妹を選びましたが、妹は時限爆弾でした【作者の日常も吹っ飛びました！】
親友に女装してパーティー同伴を頼んだら、婿入りすることになった件
魔神復活を阻止せよと命じられた勇者、「こういうのってどうせ阻止できないし、いっそ復活を手伝いません？」と王様に提案する
ダンジョン×学園×クズ
街に怪物が現れ、危機感なく「なにこれ超リアル！　映画の撮影？」とか言ってる奴が怪物よりマジで強い
ガイド役の天使を殴り倒したら、死霊術師になりました　～皆とは別ゲーをしている気がしますが、私は元気です～
吸血鬼作家、VRMMORPGをプレイする。～日光浴と料理を満喫していたら、いつの間にか有名配信者になっていたけど、配信なんてした覚えがありません～
未実装のラスボス達が仲間になりました。
New Eternity Online -PSだけで往く新世界-
バンクエットオブレジェンズ～極めていた鬼畜ゲーがサービス終了し生きがいを失ったオレはフルダイブ型Eスポーツチームに拉致ッ……スカウトされ国内最大リーグの頂点を目指すことに！！～
私掠宇宙船から始める特務軍歴
宇宙の片隅でスローライフ
開かずの宇宙戦艦　～俺の「自室」が宇宙を飛んだ日～リブート！！
パイロットが死んでしまった巨大兵器の電子頭脳に転生してしまいました
【連載版】キモオタモブ傭兵は、身の程を弁(わきま)える
剣客ウルフ
アルケミスト・スタートオーバー ～誰にも愛されず孤独に死んだ天才錬金術師は幼女に転生して人生をやりなおす～
【鑑定スキルなしの錬金術師物語】色彩能力者の錬金術師
星座になりたいプラネタリウム
天才に欠ける
異世界還りのおっさんは終末世界で無双する【コミック二巻11/18発売！】
その国の終焉
聖女の半分は優しさで出来ています～キル・オール・エネミー～
俺の嫁はランドセルを背負ったJS美少女ツンデレ凶暴ゾンビ～あまりの暴力に婚約破棄を宣言したけど秒で破棄します
滅亡世界と安価スレ
それから後のシンデレラ
量子力学的きびだんご
金の斧と銀の斧と妻の頭をかち割った鉄の斧
おふだぱんだ
みんながハッピーエンドの三枚のおふだ
歯の妖精のお仕事です
聖なる夜に、僕は願う
才能なんてないさ
公然の秘密〜投稿しようぜ〜
星座の瞳は、情熱の色
「ラノベの打ち切りは３日で決まる」３日で６割の法則
『予約投稿』には気を付けて！企画に参加するとき、選考期間外になるかもしれません。
知らぬ間に実家の家族全員がコロナに感染していたので取材してみた
 サッカーが。世界で平均16番目以上に上手い事になった『なろう読者』の皆様。おめでとうございます
読み専が振り返る2022年なろうハイファンタジージャンル 〜おすすめ作品の紹介と寸評もあるよ！〜
婚約破棄された娘は死んだ婚約者に復讐をする
やらかしたのはそちらです
大嫌いな令嬢
そりゃそうなりますお嬢様
愛の量子力学
